数据下载时间：2021-06-30 09:54:15 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/583009869469/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
83,t**6,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,实物与描述的一样口感软糯香甜比绿豆糕好吃,-,-,2021-06-18
84,t**5,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,肉松饼收到了，日期新鲜，味道好吃，很划算！,-,-,2021-06-20
85,t**1,口味: 肉松饼500g+送同款500g（发1000g/箱仅14.8元）热卖,好评,好吃的不得了，关键是还便宜，看来网上买的零食也还可以,-,-,2021-06-26
86,流**6,口味: 肉松饼150g+送150g（发300g/箱仅5.9元）散装尝鲜,好评,肉松饼到了，包装很好，没有漏气的，味道不错，下次会再来,-,-,2021-06-20
87,a**8,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,新鲜度：到收货才刚刚生产了6天，很新鲜 口感味道：后感很好很解馋 保质期：保质90天 吃太快了忘记拍照了，真的很不错，偏甜一些，减肥人员就尽量少吃，充饥还是可以的 ,-,-,2021-06-15
88,t**6,口味: 肉松饼500g+送同款500g（发1000g/箱仅14.8元）热卖,好评,很大一箱子，价格很便宜，味道还不错，没有碎的，有点干，带甜味，没有友臣的松和软,-,-,2021-06-24
89,b**f,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,味道还不错，浓浓的绿豆味，口感不错，喜欢吃甜食的不要错过，苹果服务挺好的 ,-,-,2021-06-16
90,晋**3,口味: 肉松饼500g+送同款500g（发1000g/箱仅14.8元）热卖,好评,个儿小一点的比一般的肉松饼 味道还可以 肉松稍微有一点结块 ,-,-,2021-06-23
91,天**7,口味: 肉松饼150g+送150g（发300g/箱仅5.9元）散装尝鲜,好评,包装品质：单独包装 商品分量：足斤足量 保质期：日期很新 新鲜度：很新鲜 口感味道：很好吃 ,-,-,2021-06-18
92,t**2,口味: 肉松饼1000g【送】咸蛋黄蛋卷400g（发2箱仅22.8）,好评,618优惠券买的，东西还没吃，总体性价比很高，好评！ ,-,-,2021-06-22
93,p**n,口味: 肉松饼1kg+送同款1kg（发4斤/箱约55-60个仅28.8元),好评,发货稍慢，外部包装完好，分量足，倒出来一堆。。味道和以前吃的差不多。。。满意！ ,-,-,2021-06-24
94,来**人,口味: 肉松饼1kg+送同款1kg（发4斤/箱约55-60个仅28.8元),好评,有点尴尬的是难吃， 保质期：是不是放了很久的，外面才会太硬 口感味道：不好吃，外壳硬邦邦，里面肉松不真。 ,-,-,2021-06-21
95,t**0,口味: 肉松饼500g【送】抹茶味绿豆饼500g（仅15.9元）,好评,不错，抹茶味的很好吃哦。 ,-,-,2021-06-10
96,c**o,口味: 肉松饼500g【送】抹茶味绿豆饼500g（仅15.9元）,好评,两种饼的味道还可以 绿豆的要好吃一点 包装真空挺好的也好保存,-,-,2021-06-26
97,时**回,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,拿到就立马吃一个，好吃,-,-,2021-06-23
98,a**戈,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,难吃，不好吃，没有肉松味道，全是粉。建议别买7块买的 ,-,-,2021-06-23
99,趴**猫,口味: 肉松饼1kg+送同款1kg（发4斤/箱约55-60个仅28.8元),好评,好吃不贵，其妙精品。 ,-,-,2021-06-24
100,w**8,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,下单两三天就到，已收到货满满一大箱他们家的零食非常好吃，我已经是常客。,-,-,2021-06-18
101,雅**o,口味: 肉松饼500g+送同款500g（发1000g/箱仅14.8元）热卖,好评,还可以，个人挺喜欢的。,-,-,2021-06-25
102,一**2,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,包装品质：包装很好 商品分量：大概有10多个 口感味道：特别好吃 超级无敌好吃 比绿豆糕还要好吃 抹茶味很浓 吃到嘴里一咬即化 还会回购的 ,-,-,2021-06-26
103,t**2,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,这肉松饼是假货，好难吃，大家不要上当 ,-,-,2021-06-22
104,芸**1,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,最爱的绿豆饼还没有吃完，又收到新的了，可见有多新鲜😀 ,-,-,2021-06-25
105,t**8,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,已经吃了好几天了，好吃，关键绿豆解毒啊！ 之前也买过这样的忘记是不是他家的 ,-,-,2021-06-25
106,t**2,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,咸甜口感，不糊嗓子，里面的馅入口即化，个人挺喜欢的,-,-,2021-06-22
107,蓝**河,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,好评，味道不错！,-,-,2021-06-21
108,c**0,口味: 肉松饼500g【送】海苔味肉松饼400g（仅16.9元）,好评,东西收到，质量很好，吃着口感不错，特别适合老年人吃。,-,-,2021-06-23
109,l**n,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,宝贝收到，满满的一大包，价廉物美，好甜，送点给朋友一起分享！ ,-,-,2021-06-17
110,小**比,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,不错不错不错不错   味道还不错  价格实惠 ,-,-,2021-06-18
111,丹**人,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,不太好吃，跟我之前在拼多多在的不一样，而且之前买的是一大箱得有50个左右还好吃，你家得还少还不好吃，数了下，才12个,-,-,2021-06-25
112,a**3,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,非常喜欢非常不错 ,-,-,2021-06-26
113,t**6,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,尝了一个还可以,-,-,2021-06-23
114,白**祀,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,商品分量：分量很足 口感味道：特别甜，除此之外都还不错 ,-,-,2021-06-26
115,一**好,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,很奈斯，很好吃，软软糯糯的，不过绿豆味比抹茶味更大点,-,-,2021-06-22
116,春**9,口味: 肉松饼150g+送150g（发300g/箱仅5.9元）散装尝鲜,好评,味道一般般，胜在便宜 ,-,-,2021-06-22
