数据下载时间：2021-06-30 17:21:10 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/646256109432/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
73,l**1,口味: 【爆款必买】原味6盒,好评,可以说是非常接近在南京吃的鸭血粉丝汤的味道了 煮起来也挺方便的 好吃！ ,-,-,2021-06-25
74,缸**琴,口味: 原味3盒+藤椒3盒,好评,还是挺好吃的，直播间买的，蛮划算的。 就是本人喜欢吃辣，辣椒油不够用。😂 ,-,-,2021-06-21
75,茗**购,口味: 【爆款】原味6盒,好评,味道很赞，料足汤好👍，推荐购买～会回购。希望以后可以加上香菜包。 ,-,-,2021-06-26
76,午**s,口味: 原味6盒,好评,很好吃，同事推荐给我的，到了立即煮了确实不错，味道也挺好的！ ,-,-,2021-06-21
77,口**丽,口味: 原味3盒+藤椒3盒,好评,这个真的好吃，之前买了六包已经吃完了，趁这次有活动又买了六盒。味道不输外面直接买的。 ,-,-,2021-06-21
78,t**3,口味: 原味3盒+藤椒3盒,好评,整体评价：四星 胀包问题：无 包装品质：很好 口感味道：红薯粉劲道，荤菜包有点碎，鸭血挺好吃，有点咸，煮的时候水需要多加点 新鲜度：保质期挺好 ,-,-,2021-06-23
79,k**云,口味: 原味3盒+藤椒3盒,好评,整体评价：肝都比较碎，有一两个大一点的，血块切的方正，肠子味道还可以，毕竟是塑封的。整体感觉一般没有很惊艳，适合懒人在家搞一搞。 ,-,-,2021-06-26
80,如**么,口味: 原味3盒+藤椒3盒,好评,自己添加了千张，青菜一起煮，真好吃，藤椒味的特别棒 ,-,-,2021-06-23
81,z**7,口味: 【爆款必买】原味6盒,好评,味道还可以，发货比较快，直播间购买合适，辣包加了更好吃，和外面卖的差不多 ,-,-,2021-06-23
82,h**5,口味: 【爆款必买】原味6盒,好评,整体评价：好吃 喜欢在生煎店里买一盒生煎，回家煮个鸭血粉丝，美滋滋滴。 618快递暴力全都压变形了，不过价格优惠哈哈。 ,-,-,2021-06-23
83,野**美,口味: 【爆款必买】原味6盒,好评,味道还可以。鸭血是卤的，卤味。然后鸭肝也是卤好的样子。 ,-,-,2021-06-22
84,笨**脸,口味: 【爆款必买】原味6盒,好评,还没有吃，但是发过来的时候包装完整，看着挺好的，日期也是比较新鲜的。 ,-,-,2021-06-26
85,t**3,口味: 原味3盒+藤椒3盒,好评,料很足 味道跟在店里吃的鸭血粉丝一模一样 超级好吃 都给我冲 买它 葱包换成香菜包那就无敌了 ,-,-,2021-06-21
86,b**a,口味: 【爆款必买】原味6盒,好评,包装完好，物流速度，试吃了一盒，鸭血和鸭肝鸭肠意外的都不错，好评，味道稍微偏重，煮开后很香，油豆泡有点太mini 了，另外加了许多丸子中和下味道正好。 ,-,-,2021-06-23
87,a**q,口味: 原味3盒+藤椒3盒,好评,藤椒味的不错好吃，怕咸所以煮的时候放了多些水大概700ml刚刚好哟！ ,-,-,2021-06-21
88,p**o,口味: 【爆款必买】原味6盒,好评,收到货马上煮一包，水放得略多，粉丝儿和料都沉底了看不见🙈 味道是过关的，去不到南京也能靠它解解馋啦。很省事，真的煮三分钟就能吃了，这一点很占优势！,-,-,2021-06-21
89,庄**8,口味: 【爆款必买】原味6盒,好评,味道很好 加点醋味道更鲜美 回回购 ,-,-,2021-06-26
90,宋**3,口味: 【爆款】原味6盒,好评,每次零食节必须囤的东西。真的超级超级好吃。超级超级好吃。真的超级超级满意。以后还会继续囤。真的超级好。超级满意了。超级好  ,-,-,2021-06-23
91,宋**3,口味: 【爆款必买】原味6盒,好评,每次零食节必须囤的东西。真的超级超级好吃。超级超级好吃。真的超级超级满意。以后还会继续囤。真的超级好。超级满意了。超级好 ,-,-,2021-06-23
92,s**0,口味: 藤椒6盒,好评,直播間買的，價格很划算，就是藤椒口味的沒吃過 希望好吃,-,-,2021-06-24
93,苗**笑,口味: 原味3盒+藤椒3盒,好评,好吃，吃到这么方便得鸭血粉丝汤已经很不容易了，粉丝好吃，料足 ,-,-,2021-06-21
94,t**1,口味: 原味6盒,好评,水多放一点比较符合我的咸淡口味，味道和现做的比起来也差不多，zbj买的价格更优惠，也确实没有让人失望，光顾吃忘记拍图了，喜欢鸭血粉丝汤的真的可以考虑吃吃看哦。 ,-,-,2021-06-23
95,维**亚,口味: 原味3盒+藤椒3盒,好评,惊喜回赞，粉丝量一般，鸭血、猪肝、牛肝菇     葱花、汤底浓厚，5分钟煮如果，一碗好吃满满鸭血粉丝汤出锅，包装完好，效期OK，藤条味一般，还是原味可圈可点 ,-,-,2021-06-20
96,1**马,口味: 原味6盒,好评,回购3次了 超级好吃😋  原味的吃的时候放点醋 吃起来棒棒哒,-,-,2021-06-21
97,4**u,口味: 原味3盒+藤椒3盒,好评,味道不错 方便 希望小油丁能多一点 那才是嗦粉灵魂,-,-,2021-06-21
98,小**星,口味: 原味6盒,好评,味道很赞，会回购，希望店家能出个加量版本的。 (单吃一盒不够味，两盒量太多),-,-,2021-06-22
99,他**歪,口味: 原味3盒+藤椒3盒,好评,好吃，汤鲜料足，吃完意犹未尽，会再次回购,-,-,2021-06-22
100,t**2,口味: 原味6盒,好评,可香了，搭配电煮锅真是方便快捷。一天一个长胖小技巧~ ,-,-,2021-06-23
101,镜**i,口味: 原味6盒,好评,整体评价：第二次购买！口味很喜欢 ,-,-,2021-06-24
102,贪**6,口味: 原味3盒+藤椒3盒,好评,买之前没想道会这么好吃，一个速食能做到这种程度真的很不错了，吃完还会回购。 ,-,-,2021-06-21
103,l**6,口味: 【爆款必买】原味6盒,好评,闻着味道有点腥，吃着还行，自己加了点调料吃酸辣的！,-,-,2021-06-23
104,w**9,口味: 原味3盒+藤椒3盒,好评,味道很不错！收到货马上下了一碗吃！ ,-,-,2021-06-22
105,凉**秋,口味: 【爆款必买】原味6盒,好评,买过几次了，也给妈妈买一份。这次新包装日期是6月的，不错 ,-,-,2021-06-21
106,t**4,口味: 原味3盒+藤椒3盒,好评,发货快物流快 直播间购买很划算 物美价廉 味道很好 ,-,-,2021-06-21
107,琪**8,口味: 【爆款必买】原味6盒,好评,绝了超好吃！料也很足，但是没有活动的价格实在是太贵了 ,-,-,2021-06-22
108,叶**e,口味: 原味3盒+藤椒3盒,好评,料挺足的，小孩吃没放辣椒，特别好吃。下次试下藤椒味的 ,-,-,2021-06-21
109,x**7,口味: 原味3盒+藤椒3盒,好评,此用户没有填写评价。,味道超级赞👍小朋友也喜欢吃,-,2021-06-24
110,t**9,口味: 原味6盒,好评,好吃好吃好吃 真美味 可以自己再加点粉丝,-,-,2021-06-24
