数据下载时间：2021-07-01 13:39:45 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/545852157095/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
41,t**1,口味: 混合不辣口味2斤【买2份送20包q豆干】,好评,豆腐干收到好吃我最喜欢吃豆干，上次买的吃完了这次又买了一大袋，吃完再买。,-,-,2021-06-20
42,吴**9,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,此用户没有填写评价。,非常好吃，口感闻到都非常棒，家里老年人也时不时的吃，强烈推荐,-,2021-06-15
43,h**6,口味: 混合全部辣味2斤【买2份送20包q豆干】,好评,得得得摸摸快快乐乐的饿了咯的叽叽咕咕回来了额巴巴爸爸喇叭测得得得,-,-,2021-06-23
44,爱**树,口味: 香菇辣混口味2斤【买2份送20包q豆干】,好评,包装品质：也不错，总之挺满意的，物流也给力 口感味道：是我喜欢的香菇味道～ ,-,-,2021-06-23
45,t**8,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,商品分量：数量多，但是一包里面分量不是很多，但这个价格也算划算了。 保质期：还算好，是四月份的，保质期9个月 口感味道：一般，不算很好吃 ,-,-,2021-06-23
46,l**3,口味: 混合不辣口味2斤【买2份送20包q豆干】,好评,很好吃！买了好多次了。 ,-,-,2021-06-24
47,懂**←,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,中奖了有根头发，哈哈哈哈哈哈哈,-,-,2021-06-22
48,j**7,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,豆干味道还是好吃，已经买了多次，口味丰富，继续支持。,-,-,2021-06-24
49,杨**5,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,此用户没有填写评价。,可以东西实惠便宜好吃,-,2021-06-17
50,b**n,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,豆干味道不错，包装完好，小包装的吃起来方便。很好！ ,-,-,2021-06-17
51,憧**0,口味: 混合不辣口味2斤【买2份送20包q豆干】,好评,豆腐干的，味道不错，吃起来挺香的。而且分量也特别的足。 ,-,-,2021-06-26
52,漂**n,口味: 香菇不辣口味2斤【买2份送20包q豆干】,好评,味道不错！值得拥有！ 希望加强物流服务质量，提供真正的送货上门服务。 最后一公里物流不给力，拉后腿啦。4星好评！,-,-,2021-06-25
53,少**我,口味: 麻辣味2斤【买2份送20包q豆干】,好评,很好很喜欢吃？ ,-,-,2021-06-23
54,j**子,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,此用户没有填写评价。,味道一般 实际香菇很少 感觉赠品更好吃些,-,2021-05-19
55,s**y,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,豆干挺好吃的，包装也挺好的，不过我数了一下，一共是35小袋，不应该是36袋的么 ,-,-,2021-06-24
56,m**1,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,好吃不贵，很有嚼劲，香菇也有。味道不错，吃了，想一直吃。嘴馋……,-,-,2021-06-25
57,w**4,口味: 香辣味2斤【买2份送20包q豆干】,好评,这次买的里面有好多变质的，店主很搞笑赔了3.5元！,-,-,2021-06-26
58,五**纷,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,比超市便宜很多，非常划算，大人小孩都喜欢吃。,-,-,2021-06-26
59,小**凤,口味: 香辣香菇味2斤【买2份送20包q豆干】,好评,味道非常好  日期新鲜  吃货们放心购买吧😊😊 ,-,-,2021-06-18
60,g**j,口味: （不辣）鸡汁味2斤【买2份送20包q豆干】,好评,买了三个不同价格阶段的豆干，居然是这个价廉物美的最好吃 ,-,-,2021-06-22
61,爱**霞,口味: 泡椒味2斤【买2份送20包q豆干】,好评,买了很多次了，但这次太让我失望了，和之前的味道完全不一样，这次的太难吃了,-,-,2021-06-26
62,一**福,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,口感味道：好，实惠 ,-,-,2021-06-23
63,双**1,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,买过好多次了，很好吃，比超市划算多了。 ,-,-,2021-06-25
64,s**1,口味: 香菇辣混口味2斤【买2份送20包q豆干】,好评,第五次买了，比超市便宜，有好吃,-,-,2021-06-22
65,t**9,口味: 香菇辣混口味2斤【买2份送20包q豆干】,好评,回头客了，豆干很好吃，东西不错，近期的零食有了,上图,-,2021-06-18
66,静**5,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,分量足，口味很多，做零食非常棒。,-,-,2021-06-21
67,心**痕,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,只给了五种口味的。看了别人的评价图片，少了蓝色的。 ,-,-,2021-06-26
68,d**8,口味: 山椒香菇味2斤【买2份送20包q豆干】,好评,保质期：很新 口感味道：口感很好，好吃 ,-,-,2021-06-26
69,路**好,口味: （不辣）卤香香菇味2斤【买2份送20包q豆干】,好评,突然发现这家店去年已经购买一次了，这次又随机购买了一次，挺有缘分的，味道也很好，价格实惠，带香菇的超好吃！ ,-,-,2021-06-16
70,啸**域,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,味道还可以  口味没有很重  适合老少皆宜,-,-,2021-06-21
71,t**6,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,物美价廉味道好，比超市便宜哦,-,-,2021-06-26
72,t**9,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,此用户没有填写评价。,豆干口味多，每一种都美味,-,2021-06-18
73,t**1,口味: 香菇辣混口味2斤【买2份送20包q豆干】,好评,挺划算的，味道也是我喜欢的，爱了爱了,-,-,2021-06-20
74,t**6,口味: 10种口味混合2斤【买2份送20包q豆干】,好评,我妈没告诉我，直接拿去公司给同事吃了，同事们都说好吃，然后叫我帮他们再买两斤。但是我没吃到 ,-,-,2021-06-26
75,l**1,口味: 香菇不辣口味2斤【买2份送20包q豆干】,好评,好吃，和超市一样，价格很便宜，劲道很好吃 ,-,-,2021-06-26
76,7**q,口味: 6种香菇口味混合2斤【买2份送20包q豆干】,好评,朋友推荐购买，味道不错哦，辣的更好吃,-,-,2021-06-23
