数据下载时间：2021-06-30 17:34:08 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/536709759370/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
69,t**8,口味: 【常规】黑珍珠1kg,好评,放心放心买，非常好！,-,-,2021-06-24
70,w**5,口味: 【快煮】琥珀珍珠500g,好评,快煮的方便好多啊！,-,-,2021-06-08
71,n**地,口味: 【快煮】抹茶味珍珠500g,好评,浓浓的黑糖味  很香,-,-,2021-06-23
72,t**4,口味: 【常规】黑珍珠1kg,好评,很好吃，味道还不错！值得购买,-,-,2021-06-24
73,t**9,口味: 【快煮】琥珀珍珠500g,好评,多次回购 ,-,-,2021-06-26
74,h**g,口味: 【快煮】黑珍珠1kg,好评,一直从这家买，老顾客了，以后优惠点哦！😊,-,-,2021-06-15
75,d**g,口味: 【常规】黑珍珠1kg,好评,很方便，很好吃,-,-,2021-06-21
76,欧**馆,口味: 【常规】焦糖味珍珠 500g,好评,要下锅煮一会，不是即食的 ,-,-,2021-06-26
77,y**9,口味: 【快煮】黑珍珠1kg,好评,很不错的宝贝，值得购买,-,-,2021-06-24
78,t**9,口味: 【常规】黑珍珠1kg,好评,回购的，挺好的,-,-,2021-06-22
79,昕**8,口味: 【免煮】黑珍珠25g*5包+糖纳红豆20g*5包+椰果40g*5颗,好评,快捷便利,-,-,2021-06-21
80,t**6,口味: 【快煮】琥珀珍珠500g,好评,看着很nice，包装很好,-,-,2021-06-26
81,浪**女,口味: 【常规】黑珍珠1kg,好评,口感不好 ,-,-,2021-06-26
82,猫**咪,口味: 【免煮】黑珍珠25g*5包,好评,不错的，QQ弹弹的 ,-,-,2021-06-24
83,在**子,口味: 【常规】黑珍珠1kg,好评,味道不错,-,-,2021-06-24
84,裴**歌,口味: 【常规】黑珍珠1kg,好评,收到了优秀,-,-,2021-06-24
85,z**1,口味: 【常规】黑珍珠1kg,好评,东西不错，老板也很有耐心，谢谢,-,-,2021-06-26
86,杨**乐,口味: 【常规】琥珀珍珠1kg,好评,珍珠洗打开有点刺鼻子，煮开就没有那味道。 ,-,-,2021-06-24
87,x**a,口味: 【常规】黑珍珠1kg,好评,今天煮了一点，特别Q弹，跟外面卖的一样,-,-,2021-06-20
88,m**l,口味: 【常规】黑珍珠1kg,好评,好很好 ,-,-,2021-06-21
89,a**6,口味: 【常规】黑珍珠1kg,好评,这个珍珠特别好，🎷不用冷藏，🈲不占冰箱空间。除此之外，♒三分钟就可以煮好，🍷口感非常Q弹。买来做了港式丝袜奶茶，🚬很好！推荐购买！ ,-,-,2021-05-20
90,d**1,口味: 【常规】黑珍珠1kg,好评,一直在这买，很好！ ,-,-,2021-06-23
91,t**9,口味: 【常规】黑珍珠1kg,好评,多次回购 煮了后很Q 添加剂少 大牌子值得信赖 ,-,-,2021-06-15
92,小**c,口味: 【常规】琥珀珍珠1kg,好评,煮起来挺方便的，就是不太会放糖(›´ω`‹ ),-,-,2021-06-19
93,q**5,口味: 【免煮】黑珍珠25g*15包(送吸管),好评,珍珠还没试过，后面再评价喽 ,-,-,2021-06-17
94,t**5,口味: 【快煮】黑珍珠1kg,好评,口感很不错，满意,-,-,2021-06-25
95,孤**仓,口味: 【常规】黑珍珠1kg,好评,大大的一包，，可以吃很久了，昨天煮了忘记拍照了，很q弹，跟外面买的一样好吃 ,-,-,2021-06-11
96,x**9,口味: 【常规】黑珍珠1kg,好评,珍珠超级好吃 ，一直在这家买 ，椰果也不错 ，商家服务特别好 ，超级好的一家店，会一直购买 他家店的任何商品 ！😍😍😍,-,-,2021-06-15
97,真**焕,口味: 【常规】黑珍珠1kg,好评,隔天就到啦很快包装很好,-,-,2021-06-17
98,最**梦,口味: 【常规】琥珀珍珠1kg,好评,给我发的不是黑珍珠呢😂,-,-,2021-06-24
99,胡**5,口味: 【常规】黑珍珠1kg,好评,珍珠很好，非常Q弹，大家都说好吃，客服服务也很到位 ,-,-,2021-06-16
100,l**1,口味: 【常规】黑珍珠1kg,好评,扣弹有韧性，好吃 ,-,-,2021-06-20
101,三**丝,口味: 【常规】琥珀珍珠1kg,好评,想买快煮，没想到最后选错了，懒得换了 ,-,-,2021-06-22
