数据下载时间：2021-07-01 09:45:04 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/635282951035/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
26,t**0,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,因为自己是个吃货尤其是对冰粉难以抵抗，外面的又太贵每次买了都不够吃 索性自己买了自己做 没想到效果出奇的好 ，而且制作简单又美味可口，和我一样喜欢吃冰粉的小姐妹赶紧行动吧，真的是简单好做，水煮开后放置凉了之后就可以了，还可以加上自己喜欢的水果，酸酸甜甜超好吃!价格实惠，而且商家还送很多东西，红糖花生这些，真的是完美!,上次自己做完之后吃着味道很好 就又多做了一些分享给小姐妹们 她们也很喜欢 都是和外面买的味道一样,-,2021-05-27
27,t**6,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,冰粉的日期很新鲜，懒人福音，想吃就自己做。性价比非常高，送的材料也特别齐全，自己放点水果在里面真的是冰爽可口，夏日解暑神器👍🏻。 ,这家冰粉很好，很容易做成功，自己做的放心吃，吃起来冰凉香甜，嫩滑爽口。解暑清凉神器，搭配水果很美味。性价比很高，值得购买哦。,-,2021-06-05
28,刘**1,口味: 冰粉5袋+20g糖蜜红豆5包,好评,还不错，天热吃一碗很爽,-,-,2021-06-21
29,杨**凡,口味: 40g冰粉5袋+5支30g红糖,好评,买了还没有吃，等做了再来评 ,-,-,2021-06-23
30,傻**你,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,这家冰粉不错，口感很好，吃起来冰凉可甜，嫩滑爽口，浇上红糖，撒些芝麻花生配上水果浓稠的甜味，作为夏天的美食不可少的。,生津解暑，清凉降火，冰粉看起来晶莹剔透，远远的看着就像一块玻璃，又像是一块冰，在炎炎的夏日来一碗冰粉，那可谓是透心凉。,-,2021-05-26
31,w**9,口味: 冰粉粉40g*5+白芝麻100g*1,好评,此用户没有填写评价。,吃了好多次了，好,-,2021-06-16
32,d**6,口味: 40g冰粉5袋+5支30g红糖,好评,好，很容易做,-,-,2021-06-25
33,t**4,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,没有冰粉的夏天是不完整的夏天，夏天的绝配呀，这款制作很简单，而且自己在家做干净卫生，可以自己搭配各种水果，比外面店里更丰盛哦，关键还便宜哦,-,-,2021-06-17
34,傅**8,口味: 40g冰粉5袋+5支30g红糖,好评,此用户没有填写评价。,非常满意！就是糖浆给少了哈哈,-,2021-05-13
35,h**7,口味: 40g冰粉1袋,好评,买了一袋试试 应该可以做个四五次 还送了两袋液体红糖 ,-,-,2021-06-19
36,t**8,口味: 40g冰粉5袋+5支30g红糖,好评,冰粉粉非常好，家人很喜欢吃,-,-,2021-06-20
37,微**沅,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,夏天来一碗冰冰凉的冰粉，太好了吧，做法简单，味道超美，配上卖家送的芝麻，太好了吧,超级好吃😄，夏天必备的冰粉，卖家超级好，送的配料，做法简单，推荐,-,2021-06-13
38,t**1,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,第一次自己做冰粉，按着包装的说明书操作，简单。家里有的水果都切进去，加上一起配来的红糖和山楂花生芝麻碎碎，好吃，夏天的味道 ,今天自己熬制了蓝莓果酱做的冰粉，加上脆啵啵和杨梅果肉，美味,-,2021-05-23
39,王**9,口味: 40g冰粉5袋+5支30g红糖,好评,已经做了一次了，和买的没有什么区别，做法很简单，不错 ,-,-,2021-06-20
40,我**8,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,本来会以为很难做的，没想到第一次操作就如此的成功，这个自己做的和市面上买的差不多了都，吃起来也很不错，夏天来一口冰冰凉凉的冰粉也太舒服了吧哈哈哈,虽然加了水果有点儿压碎了，但是依旧是好吃的，真的超级解暑了,-,2021-06-07
41,囡**程,口味: 40g冰粉8袋,好评,食材非常新鲜，口感不错！,-,-,2021-06-17
42,t**4,口味: 40g冰粉1袋,好评,已经收到了，还没用。后面用了再追评！,-,-,2021-06-17
43,q**台,口味: 40g冰粉5袋+5支30g红糖,好评,售后很好漏发马上补了,-,-,2021-06-20
44,b**1,口味: 冰粉粉40g*5+液体红糖30g*5+山楂碎100g*1,好评,多次购买，很好吃,-,-,2021-06-18
45,1**i,口味: 冰粉粉40g*5+液体红糖30g*5+葡萄干100g*1,好评,口感味道：发货速度快，收到随便试试，很好吃 ,-,-,2021-06-11
46,我**到,口味: 40g冰粉8袋,好评,溶解难易：非常好溶解 配件问题：送的液体红糖味道挺好的 包装品质：满意 外观品相：满意 口感味道：满意 第一次做，看了上面的文字描述，然后觉得，那么多水放这么点冰粉真的能凝固吗，然后，事实证明，确实是的（原来冰粉就是一锅水）。不过，确实是好吃的。 ,-,-,2021-06-03
47,b**5,口味: 山楂碎500g,好评,多次买啦，很好 ,-,-,2021-06-18
