数据下载时间：2021-06-30 09:44:26 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/595399070077/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
52,都**8,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,酥脆好吃碎的还能接受 ,-,-,2021-06-21
53,w**莲,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,还可以！好吃！就是没有送点其它的零食！,-,-,2021-06-26
54,w**6,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,这个是回购款。味道不错性价比高,-,-,2021-06-26
55,x**0,食品口味: 【实惠半斤装】菠萝蜜250克袋装,好评,挺好吃的，就是菠萝蜜很容易受潮，同样放进罐子里菠萝蜜总是会软掉,-,-,2021-06-23
56,t**2,食品口味: 【人气推荐】菠萝蜜250克+秋葵250克（共发500克）,好评,好吃，孩子大人都喜欢，还准备再买呢,-,-,2021-06-24
57,r**3,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,菠萝蜜总体还可以，但是太甜了。本来菠萝蜜干糖分含量就多，还加糖，泡杯水后吃还甜到齁😇,-,-,2021-06-23
58,浮**香,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,菠萝干不错，清爽焦脆，感觉很天然，好吃，物流也给力，有回购的愿望，好评。,-,-,2021-06-24
59,晓**3,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,超级好吃哦，小吃货们赶快下手吧,-,-,2021-06-18
60,湘**遇,食品口味: 【便携尝鲜】菠萝蜜50克X2袋,好评,亲，包装很好，好吃😄我很满意好评,-,-,2021-06-24
61,王**3,食品口味: 【实惠半斤装】菠萝蜜250克袋装,好评,口感很脆，可以放心购买,-,-,2021-06-26
62,易**赟,食品口味: 【实惠半斤装】菠萝蜜250克袋装,好评,口感还行 有味,-,-,2021-06-22
63,猫**要,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,口感味道：酥脆，好吃 保质期：今年5月生产 新鲜度：新鲜 总体挺好的，就是甜度，上次没这次甜，还是觉得不太甜的会更好 ,-,-,2021-06-11
64,狂**风,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,好吃的 价格合适 ,-,-,2021-06-23
65,g**z,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,此用户没有填写评价。,味道还不错，娃很喜欢哈,-,2021-06-17
66,8**9,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,淘宝里买个最好的一次菠萝蜜干 主要是不硬 买过好几家都遇到硬板板的 吃得牙都疼 试了几片立马再下一单 现在整包吃完了 也没发现硬板板的 挺不错 ,-,-,2021-06-10
67,w**n,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,东西不错，好吃，第二次买了，物流可以。 ,-,-,2021-06-26
68,t**1,食品口味: 【实惠半斤装】菠萝蜜250克袋装,好评,孩子喜欢吃，两天就吃完了,-,-,2021-06-20
69,s**2,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,商品分量：分量十足，多次购买，宝宝爱吃 保质期：保质期长 新鲜度：新鲜度高 口感味道：口感独特 ,-,-,2021-06-13
70,m**5,食品口味: 【爆款组合】菠萝蜜250克+果蔬脆250克（共发500克）,好评,很好吃，新鲜原味,-,-,2021-06-23
71,墨**灵,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,口感好，日期新鲜，分量足。包装完好。 ,-,-,2021-06-25
72,l**4,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,收货，孩子喜欢吃,-,-,2021-06-23
73,无**9,食品口味: 【人气推荐】菠萝蜜250克+秋葵250克（共发500克）,好评,好评  味道不错,-,-,2021-06-21
74,t**9,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,一直喜欢的味道,-,-,2021-06-23
75,璃**暖,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,味道还是很好,-,-,2021-06-21
76,水**刀,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,啥也不说，直接618买了7斤 ,-,-,2021-06-25
77,昊**1,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,还没吃，先习惯性好评吧！好吃再追评。 ,-,-,2021-06-23
78,t**3,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,买了好多次了，非常好吃！不硬，很脆！,-,-,2021-06-22
79,就**廉,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,很脆，香甜味道一般，整体算还可以吧 ,-,-,2021-06-23
80,墨**灵,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,分量很足，日期新鲜，包装很好没有破损。 ,-,-,2021-06-25
81,刹**的,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,好吃，价格也不贵 ,-,-,2021-06-19
82,c**x,食品口味: 【爆款组合】菠萝蜜250克+果蔬脆250克（共发500克）,好评,菠萝蜜口感脆酥不错，价格也合适，量也很足，下次再买。 服务，快递都给力。,-,-,2021-06-16
83,绿**0,食品口味: 【爆款组合】菠萝蜜250克+果蔬脆250克（共发500克）,好评,这是真的棒，物有所值啊，会回购。 ,-,-,2021-06-25
84,t**5,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,是油炸的，我还以为是生晒的那种、吃起来就脆，味道一般 ,-,-,2021-06-21
85,宝**妮,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,就是碎的太多 其它没毛病 ,-,-,2021-06-26
86,j**2,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,很脆，非常好吃，不过加了糖的,-,-,2021-06-22
87,幸**猪,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,多次回购，非常好吃,-,-,2021-06-24
88,t**4,食品口味: 【人气推荐】菠萝蜜250克+秋葵250克（共发500克）,好评,很好吃值得购买  推荐推荐,-,-,2021-06-22
89,t**6,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,菠萝蜜片完整，口感酥脆，味道很好,-,-,2021-06-19
90,y**6,食品口味: 【实惠半斤装】菠萝蜜250克袋装,好评,味道不错，值得购买！,-,-,2021-06-26
91,h**9,食品口味: 【爆款组合】菠萝蜜250克+果蔬脆250克（共发500克）,好评,此用户没有填写评价。,买了很多种，都特别好吃，孩子也爱吃，健康放心，重复购买多次，推荐,-,2021-06-05
92,t**7,食品口味: 【人气推荐】菠萝蜜250克+秋葵250克（共发500克）,好评,不是特别甜，味道还不错，香甜酥脆。,-,-,2021-06-15
93,t**5,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,非常好吃😋五星好评,-,-,2021-06-21
94,平**6,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,非常好吃，继续回购,-,-,2021-06-24
95,t**1,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,非常好，买了好多次了,-,-,2021-06-20
96,x**q,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,多次购买，好吃。两大袋，划算 ,-,-,2021-06-19
97,s**6,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,好吃不贵，量还大,-,-,2021-06-23
98,j**8,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,经常在这家店买零食了，每次都是买一大箱，大人小孩都喜欢吃。一如既往的好，吃完了继续买。,-,-,2021-06-12
99,t**5,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,很好吃唷  再来再来再来。。。,-,-,2021-06-21
100,t**6,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,包装品质：很好 商品分量：足称 新鲜度：很新鲜 口感味道：好酥好脆，第一买干菠萝蜜吃，儿子很喜欢吃，家人都说好吃。准备在买一单，价格实惠。 ,-,-,2021-06-08
101,咖**9,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,本來自己想吃买的，拆包后孩子比我还喜歡吃，一下吃光了,-,-,2021-06-20
102,w**3,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,质量好，超值！,-,-,2021-06-22
103,非**g,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,好平，好吃，喜欢吃，,-,-,2021-06-22
104,z**9,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,好吃，比想象的好 ,-,-,2021-06-22
105,t**勤,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,脆片太爱吃了，和老公三天吃完，现在准备来补购，不知老闆有没有榴梿脆脆，我还加购菠萝脆片,-,-,2021-06-16
106,瑄**妹,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,这个非常好吃也便宜，停不下来的那种好吃。 ,-,-,2021-06-15
107,x**3,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,太好吃了，一会儿的功夫吃了一包，而且还特便宜,-,-,2021-06-19
108,c**祥,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,如描述一致，下次再来。,-,-,2021-06-25
109,w**2,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,菠萝蜜很干很脆很香l，好吃到停不下来。吃完回购。 ,-,-,2021-06-20
110,我**g,食品口味: 【实惠半斤装】菠萝蜜250克袋装,好评,还不错，还好,-,-,2021-06-23
111,肖**0,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,还不错👍,-,-,2021-06-25
112,伍**0,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,已经吃完一袋了，个别有点硬，整体特别好,-,-,2021-06-25
113,筱**衡,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,好吃，两大包！而且非常大个的，推荐,-,-,2021-06-15
