数据下载时间：2021-07-01 13:23:53 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/638549079571/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
48,魑**q,口味: 白凉粉300g+送（33连弹珠+量杯勺教程,好评,很抱歉这么晚才来评价，因为我没有用，没有使用就没有发言权。他家的东西质量很好，很细腻，遇水就溶解了，做出来的果冻晶莹透亮，我还加了果粒，晃晃悠悠的很好看，又会了一个哄娃新技能，主要自己做的干净，没有添加剂，给小朋友吃也很放心 ,-,-,2021-06-09
49,姐**淘,口味: 白凉粉50g+教程（试吃装）,好评,收到了，非常的不错。味道很赞。做起来也方便。 ,挺好的，下次还会再来购买的。,-,2021-06-25
50,好**6,口味: 白凉粉50g+教程（试吃装）,好评,卖家发货速度非常的快，物流很给力，没有破损。价格实惠。 ,价格很实惠，卖家服务很好。,-,2021-06-26
51,t**2,口味: 白凉粉50g+教程（试吃装）,好评,(￣ ii ￣;) 吸溜(￣＂￣;) 乀(ˉεˉ乀)...去去去 ∗︎˚(* ˃̤൬˂̤ *)˚∗︎,.   ◟◟◞◞   (◔◡◔) ╰ ▒▒ ╯     ╜╙,-,2021-06-21
52,雪**8,口味: 白凉粉50g+教程（试吃装）,好评,第一次做，感觉挺不错的，夏天不错的选择 ,-,-,2021-06-22
53,t**1,口味: 白凉粉50g+教程（试吃装）,好评,宝贝收到了，准备动手试做，应该是很好吃,-,-,2021-06-21
54,徐**7,口味: 白凉粉50g+教程（试吃装）,好评,价格实惠，非常好用,-,-,2021-06-24
55,y**园,口味: 白凉粉50g+教程（试吃装）,好评,50克一包的白凉粉，可以做果冻吃。 ,-,-,2021-06-21
56,小**6,口味: 白凉粉50g+教程（试吃装）,好评,非常好吃，没有拍照只能晒喵了，软糯香甜，外层是浓浓的巧克力味道，内里却是麻薯的糯糯的有较劲，非常好吃的的零食而且适合下午茶☕️  ,-,-,2021-06-22
57,t**9,口味: 白凉粉50g+教程（试吃装）,好评,宝贝很漂亮，质量不错，款式好看，口味很好，制作方便，我真心觉得喜欢，下次还来光顾,-,-,2021-06-22
58,t**2,口味: 白凉粉50g+教程（试吃装）,好评,白凉粉50g一袋的，可以做果冻吃的。 ,-,-,2021-06-21
59,牟**7,口味: 白凉粉300g+送（6连星星模具+量杯量勺教程）,好评,是今日期产的，口感特别好，宝宝很是喜欢，下次还要继续打算购买哦，价格也不贵，很实惠。 ,很快就用完了，太喜欢了，推荐给身边朋友打算继续再买。,-,2021-06-20
60,t**9,口味: 白凉粉50g+教程（试吃装）,好评,牛奶火龙果嫩的比豆腐还好吃。。,-,-,2021-06-22
61,万**9,口味: 白凉粉50g+教程（试吃装）,好评,商品和商家描述的一致。还送了教程。0元购，很不错哦！,-,-,2021-06-26
62,侯**3,口味: 白凉粉50g+教程（试吃装）,好评,溶解难易：非常好溶解 配件问题：没有啥问题 包装品质：非常好 外观品相：非常好 口感味道：非常好吃 ,家里老人小孩都喜欢吃。还会来光顾的。卖家服务非常好,-,2021-06-21
63,q**1,口味: 白凉粉50g+教程（试吃装）,好评,黄心猕猴桃和水蜜桃垫底 很成功 很好吃 宝宝吃了一口还要一口 难得,-,-,2021-06-20
64,明**绣,口味: 白凉粉50g+教程（试吃装）,好评,第一次弄还不太熟练 ,-,-,2021-06-26
65,爱**l,口味: 白凉粉300g+送（2连小猪+量杯勺教程,好评,让人怎么说呢？三包破了一包！,-,-,2021-06-25
66,t**1,口味: 白凉粉50g+教程（试吃装）,好评,挺好的，好吃，搭配水果糖浆,-,-,2021-06-21
67,t**6,口味: 白凉粉300g+送（8连鲜花模具+量杯量勺教程）,好评,二次购买，还送了模具量杯勺，质量不错，第一次做的不太成功，但色泽味道还不错。,-,-,2021-05-30
