数据下载时间：2021-06-29 09:26:59 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/557269641899/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
70,心**7,颜色分类: 单数据线（2米）【官方授权】,好评,买过好几次了，挺好的,-,-,2021-06-05
71,未**子,颜色分类: 单数据线（1.5米）【官方授权】,好评,回购，能用大半年。 ,-,-,2021-06-02
72,王**儿,颜色分类: 单数据线（1.5米）【官方授权】,好评,买了好多条了 特别好！ ,-,-,2021-05-29
73,t**1,颜色分类: 实惠套装★ 数据线（1.5米）+充电头【官方授权】,好评,目前可以 ,-,-,2021-06-03
74,w**4,颜色分类: 单数据线（1米）【官方授权】,好评,挺好 买了好多了,-,-,2021-06-04
75,酒**8,颜色分类: PD快充线1米【官方授权】,好评,还不错，服务态度也超好的,-,-,2021-06-06
76,h**i,颜色分类: 单数据线（2米）【官方授权】,好评,老买家了 不错,-,-,2021-06-16
77,w**y,颜色分类: 单数据线（1米）【官方授权】,好评,很快收到宝贝，试用了一下，充电🔋正常、快速，没有问题。,-,-,2021-05-17
78,2**i,颜色分类: 快充套装双口2.4A★ 数据线（2米）+充电头【官方授权】,好评,挺好用的，补发的充电很快。之前在这买过线，用了好久一直还好着 ,-,-,2021-05-22
79,t**1,颜色分类: 单数据线（1米）【官方授权】,好评,值得购买特别优惠 ,-,-,2021-06-03
80,尔**m,颜色分类: 单数据线（1米）【官方授权】,好评,买了几次了，基本都是被猫咬断了，这价格能用个一年两年的已经很可以了 ,-,-,2021-05-24
81,一**0,颜色分类: 实惠套装★ 数据线（1米）+充电头【官方授权】,好评,接触灵敏度：很不错的，用着也还可以 充电速度：正常的 外观材质：美观大方实用 总的来说挺不错的，对得上这个价格 ,-,-,2021-04-14
82,倩**7,颜色分类: 快充套装双口2.4A★ 数据线（2米）+充电头【官方授权】,好评,此用户没有填写评价。,客服恶心的要*，有问题各种理由不给换。买过两次了，都用一段就坏，接触不好，手机都晃坏了，垃圾，绝不是正品,-,2021-04-16
83,哈**的,颜色分类: 实惠套装★ 数据线（1.5米）+充电头【官方授权】,好评,宝贝用了一段时间了，真的很好用，充电速度很快，质量没问题满意 ,-,-,2021-05-18
