数据下载时间：2021-06-28 13:47:51 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/621776237205/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
88,w**9,长度: 1米 颜色分类: 【活动促销款】Type-c/白色【1条装】,好评,此用户没有填写评价。,差太差了,-,2021-04-16
89,老**5,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,质量很好！速度很快！,-,-,2021-06-16
90,t**6,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,便宜，插入一点紧，充电速度还是可以,-,-,2021-06-21
91,t**0,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,此用户没有填写评价。,"因为很忙,一直没来评价,线确实好用,的确是5A的,用在华为手机上和原装的一样,40W超级快充,非常满意!",-,2021-06-18
92,阿**惑,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,只能说是快充，说不出来跟原装有啥不同，非要说点的话，那就是没有原装的品相好。,-,-,2021-06-17
93,永**2,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,宝贝已收到，很不错，物流也很给力,-,-,2021-06-16
94,房**6,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,数据线收到了，插上也挺紧的，也可以正常充电，但是不是快充，只是普通的，具体多久可以充满还没试，商家不易，产品也不值钱，给个好评吧！,-,-,2021-06-20
95,自**乐,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,确实是5A快充，好评,-,-,2021-06-17
96,凹**店,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,很好，很便宜！,-,-,2021-06-16
97,笑**8,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,充电慢，紧紧紧，重要的事情说三遍。插拔一次累*,-,-,2021-06-17
98,一**5,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,特别不错，外出带着也方便，挺喜欢的，充电效率挺好。,-,-,2021-06-13
99,m**翼,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,亲测是快充，但是没有华为的fcp，只有scp，也就是只支持22.5w不支持40w，有点遗憾但是也觉得很值得了,-,-,2021-06-20
100,t**0,长度: 1米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,此用户没有填写评价。,垃圾，用了一个月都不到，就充不进电了，电量还越充越少😡😡😡,-,2021-06-18
101,t**8,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,数据线还好，不过不是快充，跟描述有点区别,-,-,2021-06-22
102,玫**宝,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,不太好，手机一端插头松，一分价格一分货,-,-,2021-06-20
103,2**仔,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,"卖家发货很快，快递送货也很及时，有可能是我拍短了吧，用起来不是很顺手，不过质量的确是不算好，接口很紧，用起来很滞涩，却又有些虚连。就这样吧,也不是卖家生产的，卖家也不容易，给个好评算啦╮（╯＿╰）╭",-,-,2021-06-15
104,n**a,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,这个数据线非常的好，还没开始用它就坏了，这个非常建议大家买，买个教训也是不错的！,-,-,2021-06-17
105,清**扇,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,买了两条，一个略长，一个略短。好担心质量啊,-,-,2021-06-19
106,我**3,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,很好不错的，性价比挺高的，必备佳品,-,-,2021-06-14
107,q**5,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,数据线做工一般，充电沒问题。,-,-,2021-06-10
108,研**梦,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,后长，实惠好用实惠好用,-,-,2021-06-10
109,洛**衣,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,短的带出去接充电宝很方便,-,-,2021-06-21
110,t**1,长度: 2米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,只能给充电宝用用了，手机用不了😅,-,-,2021-06-18
111,杨**0,长度: 1米 颜色分类: 【活动促销款】Type-c/白色【1条装】,好评,很好。不错,-,-,2021-06-19
112,5**q,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,还行有点小，电流达不到,-,-,2021-06-19
113,k**1,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,产品收到了，充电快，好用，有需要还来购买！,-,-,2021-06-09
114,a**u,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,还没测试是不是5A的标准，先好评着。,-,-,2021-06-19
115,d**1,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,东西非常好,-,-,2021-06-11
116,t**3,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,不充电不能用，直接扔垃圾桶了,-,-,2021-06-25
117,t**1,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,还没用，希望质量好,-,-,2021-06-12
118,刘**0,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,挺好的宝贝。。。。。,-,-,2021-06-18
119,周**境,长度: 1米 颜色分类: 【活动促销款】Type-c/白色【1条装】,好评,很好，充电快，质量很好，很满意。,-,-,2021-06-11
120,t**3,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,可以快充,-,-,2021-06-25
121,j**w,长度: 2米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,还没有用，习惯好评。,-,-,2021-06-18
122,王**8,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,很好用，充得也快，紫色头起码是新款,-,-,2021-06-08
